,Project ID,Project Name,Project Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Method,Type,SDG,CCB,No Additional Cert
6,2834,"Mangrove Restoration Project with Sine Saloum and Casamance communities, Senegal",WeForest ASBL,Agriculture Forestry and Other Land Use,ARR; WRC,AR-AM0014,Under validation,Senegal,95470,Africa,,2020-07-10,2050-07-09,Blue Carbon,AFOLU,0,0,1
9,2088,Mangrove Restoration and Sustainable Development in Myanmar,Worldview International Foundation,Agriculture Forestry and Other Land Use,ARR; WRC,AR-AM0014,Registration requested,Myanmar,403831,Asia,,2020-09-01,2040-08-31,Blue Carbon,AFOLU,0,0,1
11,1764,"Reforestation and Restoration of degraded mangrove lands, sustainable livelihood and community development in Myanmar",Worldview International Foundation,Agriculture Forestry and Other Land Use,ARR; WRC,AR-AM0014,Registered,Myanmar,184006,Asia,2017-06-26,2015-06-15,2035-06-14,Blue Carbon,AFOLU,0,0,1
33,3815,BOUTILI AFFORESTATION & AGROFORESTRY PROJECT,CENTRAFOREST,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Central African Republic,5825,,,2020-06-01,2050-05-31,ARR,AFOLU,0,0,1
54,3602,Udzungwa Corridor Reforestation,Udzungwa Corridor Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Tanzania,178047,Africa,,2022-02-03,2052-02-02,ARR,AFOLU,0,0,1
92,3429,Restoration and Conservation of Dry Afromontane Forest in the Highlands of Eastern Tigray,WeForest ASBL,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Ethiopia,94936,Asia,,2018-01-01,2067-12-31,ARR,AFOLU,0,0,1
95,3396,PlanTogo,Sequoia Plantation Togo,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Togo,1508829,Africa,,2021-06-01,2041-05-31,ARR,AFOLU,0,0,1
104,3333,Restoration of degraded mangroves as a climate change mitigation and adaptation strategy in Asia CPA 1,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-AM0014,Under validation,Myanmar,322622,Asia,,2019-02-13,2039-02-12,ARR,AFOLU,0,0,1
110,3223,CONSERVATION AND RESTORATION OF THE MANGROVE ECOSYSTEM IN THE GAMBIA THROUGH THE REDD+ MECHANISM,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; IFM; REDD; WRC,VM0007,Under development,Gambia,300000,Africa,,2022-08-01,2122-07-31,ARR,AFOLU,0,0,1
119,3142,Blue Forest & Mozambique: Building Africa’s Largest Mangrove Restoration Project,Blue Forest,Agriculture Forestry and Other Land Use,ARR; REDD,VM0007,Under development,Mozambique,2965555,Africa,,,,ARR,AFOLU,0,0,1
122,3072,Rwanda Riparian Restoration Project,EcoPlanet Bamboo Group,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Rwanda,51964,Africa,,2022-10-01,2042-09-30,ARR,AFOLU,0,0,1
128,2971,OKA 2 PROJECT,Acacia Batéké Capital,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Congo,19976,Africa,,2020-08-01,2053-07-31,ARR,AFOLU,0,0,1
130,2965,Niger Acacia Senegal Plantation Project - CER Conversion,Converted from other GHG program,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Units Transferred from Approved GHG Program,Niger,24957,Africa,,2005-12-21,2035-12-20,ARR,AFOLU,0,0,1
140,2881,The NFC Uganda Carbon Landscapes Project,New Forests Company Holdings I Limited,Agriculture Forestry and Other Land Use,ARR; IFM,VM0003; AR-ACM0003,Under validation,Uganda,74328,Africa,,2017-07-01,2047-06-30,ARR,AFOLU,0,0,1
143,2792,Restoration of Degraded Mangroves and Sustainable Development in Myanmar,Worldview International Foundation,Agriculture Forestry and Other Land Use,ARR,AR-AM0014,Registration requested,Myanmar,70285,Asia,,2020-09-01,2040-08-31,ARR,AFOLU,0,0,1
158,2619,Tombwe Smallholder Reforestation Project,Tombwe Processing Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Zambia,56657,Africa,,2019-10-01,2049-09-30,ARR,AFOLU,0,0,1
178,2471,Agroforestry and reforestation with small-scale farmers in Uganda,The PURE PROJECT SAS,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Registration and verification approval requested,Uganda,1214,Africa,,2016-04-13,2051-04-12,ARR,AFOLU,0,0,1
192,2401,Reforestation of Degraded Lands in Sierra Leone,Miro Forestry Developments Limited,Agriculture Forestry and Other Land Use,ARR,AR-AM0003,Registered,Sierra Leone,126297,Africa,2021-12-23,2016-05-16,2046-05-15,ARR,AFOLU,0,0,1
196,2382,Niger Acacia Senegal Plantation Project,Achats Service International,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Niger,24957,Africa,2021-10-25,2005-12-21,2035-12-20,ARR,AFOLU,0,0,1
212,2339,"TIST Program in Uganda, VCS-CCB 010",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Registered,Uganda,83340,Africa,2021-08-30,2015-02-01,2075-01-31,ARR,AFOLU,0,1,0
213,2319,Agroforestry plantation Bateke Plateaus,FRM Commitment,Agriculture Forestry and Other Land Use,ARR; REDD,AR-ACM0003,Registered,Congo,36102,Africa,2023-03-07,2018-08-01,2051-07-31,ARR,AFOLU,0,0,1
217,1071,Jatropha Agroforestry Senegal,African National Oil Corporation s.a.r.l.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Senegal,1742,Africa,2020-04-06,2009-06-03,2034-06-02,ARR,AFOLU,0,0,1
222,2085,"Revegetation with fruit Trees in North Manica Province, Mozambique",Agrimoz S.a r.l.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Mozambique,30799,Africa,2020-07-15,2015-05-28,2035-05-27,ARR,AFOLU,0,0,1
243,829,Jatropha Curcas grouped project in Mali,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-AMS0004,Registered,Mali,3,Africa,2012-05-29,2007-06-15,2047-06-14,ARR,AFOLU,0,0,1
245,1327,Reforestation of deforested land in Madagascar,EcoFormation,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Madagascar,94452,Africa,2014-05-07,2011-03-01,2041-02-28,ARR,AFOLU,0,0,1
246,799,Bukaleba Forest Project,Busoga Forestry Co. Ltd (Subsidiary Green Resources),Agriculture Forestry and Other Land Use,ARR,AR-ACM0001,Registered,Uganda,11903,Africa,2012-03-20,2004-03-11,2046-03-10,ARR,AFOLU,0,0,1
247,1760,The Haidar EL ALI Mangrove Initiative (HEAMI),Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-AMS0003,Under development,Senegal,30170,Africa,,2018-08-01,2048-07-31,ARR,AFOLU,0,0,1
256,898,Fuelling a greener future for farmers in Malawi through the use of Jatropha curcas,Bio Energy Resources Limited (BERL),Agriculture Forestry and Other Land Use,ARR,AR-ACM0002,Registered,Malawi,863,Africa,2020-04-06,2008-07-08,2038-07-07,ARR,AFOLU,0,0,1
263,824,"TIST Program in Uganda, VCS 001",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,24348,Africa,2012-05-22,2003-01-01,2032-12-31,ARR,AFOLU,0,1,0
264,825,"TIST Program in Uganda, VCS 002",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,4801,Africa,2020-04-06,2003-01-01,2032-12-31,ARR,AFOLU,0,1,0
265,826,"TIST Program in Uganda, VCS 004",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,2958,Africa,2012-05-22,2003-01-01,2032-12-31,ARR,AFOLU,0,1,0
266,827,"TIST Program in Uganda, VCS 003",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,13112,Africa,2012-05-23,2003-01-01,2032-12-31,ARR,AFOLU,0,1,0
270,993,"TIST Program in Uganda, VCS 005",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,19342,Africa,2013-03-13,2003-01-01,2032-12-31,ARR,AFOLU,0,1,0
272,995,"TIST Program in Uganda, VCS 006",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,7787,Africa,2013-03-13,2006-01-01,2035-12-31,ARR,AFOLU,0,1,0
288,142,"Reforestation of degraded grasslands in Uchindile & Mapanda, Tanzania",Green Resources Tanzania Ltd (GRL),Agriculture Forestry and Other Land Use,ARR,AR-AM0005,Registered,Tanzania,25000,Africa,2020-04-06,2002-01-01,2100-12-31,ARR,AFOLU,0,0,1
299,673,Natural High Forest Rehabilitation Project on degraded land of Kibale National Park,Greenchoice,Agriculture Forestry and Other Land Use,ARR,AR-ACM0001,Registered,Uganda,74181,Africa,2020-04-06,2009-01-01,2068-12-31,ARR,AFOLU,0,1,0
304,1318,Livelihoods' mangrove restoration grouped project in Senegal,Livelihoods Fund SICAV SIF,Agriculture Forestry and Other Land Use,ARR,AR-AM0014,Registered,Senegal,30000,Africa,2020-04-06,2009-07-31,2039-07-30,ARR,AFOLU,0,0,1
314,1443,"East African Afforestation, Reforestation and Revegetation Program",Horn of Africa Regional Environment Center and Network,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Ethiopia,18907,Africa,,2014-05-16,2044-05-15,ARR,AFOLU,0,0,1
358,2765,"IMPROVED FOREST MANAGEMENT THROUGH LOGGED-TO-PROTECTED FORESTS AND REDUCED IMPACT LOGGING IN UFA NGOMBÉ, REPUBLIC OF CONGO",Interholco AG,Agriculture Forestry and Other Land Use,IFM,VM0010,Under development,Congo,413560,Africa,,2015-01-01,2024-12-31,IFM,AFOLU,0,0,1
441,3453,ITABU REDD+ PROJECT IN ZAMBIA,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Zambia,9326725,Africa,,2018-01-01,2117-12-31,Avoided Def.,AFOLU,0,0,1
442,3434,Lomphat Wildlife Sanctuary REDD+ Project,"Royal Government of Cambodia (RGC), Ministry of Environment",Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Cambodia,239752,Asia,,2018-01-01,2047-12-31,Avoided Def.,AFOLU,0,0,1
480,2857,Integrated REDD+ Project in Zambia,Kanaka Management Services Private Limited,Agriculture Forestry and Other Land Use,REDD,VM0015,Under development,Zambia,3010753,Africa,,2017-11-01,2116-10-31,Avoided Def.,AFOLU,0,0,1
486,2618,COMACO Landscape Management Project - West,Community Markets for Conservation (COMACO),Agriculture Forestry and Other Land Use,ALM; REDD,VM0015; VM0017,Under validation,Zambia,147925,Africa,,2017-07-01,2027-06-30,Avoided Def.,AFOLU,0,0,1
494,2538,Pendjari and W-Benin National Parks REDD+ Project,African Parks Benin (A Branch of African Parks Network),Agriculture Forestry and Other Land Use,REDD,VM0009,Registration and verification approval requested,Benin,269843,Africa,,2017-08-24,2047-08-23,Avoided Def.,AFOLU,0,0,1
497,2510,"CHINKO CONSERVATION AREA REDD+ PROJECT, CENTRAL AFRICAN REPUBLIC",African Parks RCA,Agriculture Forestry and Other Land Use,REDD,VM0009,Registration and verification approval requested,Central African Republic,1248867,Africa,,2016-09-15,2044-09-14,Avoided Def.,AFOLU,0,0,1
509,2324,COMMUNITY BASED AVOIDED DEFORESTATION PROJECT IN GUINEA-BISSAU - REDD,BioGuinea Foundation,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Guinea-Bissau,920436,Africa,2020-10-27,2011-03-31,2031-03-30,Avoided Def.,AFOLU,0,0,1
524,1900,Makame Savannah REDD,Carbon Tanzania,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Tanzania,136411,Africa,2020-10-02,2016-04-27,2046-04-26,Avoided Def.,AFOLU,0,0,1
525,1897,Ntakata Mountains REDD,Carbon Tanzania,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Tanzania,420200,Africa,2020-09-22,2017-05-19,2047-05-18,Avoided Def.,AFOLU,0,1,0
529,1052,North Pikounda REDD+,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0011,Registered,Congo,231110,Africa,2013-10-29,2012-01-01,2041-12-31,Avoided Def.,AFOLU,0,0,1
530,1848,"Korea - Myanmar Joint - Bago District REDD+ Program, with North Zamari Wildlife Sanctuary",Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0006,Under validation,Myanmar,238397,Asia,,2016-06-03,2046-06-02,Avoided Def.,AFOLU,0,0,1
535,1775,Luangwa Community Forests Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0009,Registered,Zambia,2985650,Africa,2019-10-30,2015-05-01,2045-04-30,Avoided Def.,AFOLU,0,0,1
537,1748,Southern Cardamom REDD+ Project,"Royal Government of Cambodia (RGC), Ministry of Environment",Agriculture Forestry and Other Land Use,REDD,VM0009,Registered,Cambodia,3867568,Asia,2020-04-06,2015-01-01,2044-12-31,Avoided Def.,AFOLU,1,1,0
538,1743,Beampingaratsy REDD Project,BNC REDD+,Agriculture Forestry and Other Land Use,REDD,VM0007,Registration requested,Madagascar,19867,Africa,,2017-10-05,2037-10-04,Avoided Def.,AFOLU,0,0,1
542,1689,Tumring REDD+ Project,"The Royal Government of Cambodia, Forestry Administration",Agriculture Forestry and Other Land Use,REDD,VM0009,Registered,Cambodia,378434,Asia,2020-04-06,2015-01-01,2044-12-31,Avoided Def.,AFOLU,0,1,0
545,1674,Gilé National Reserve REDD Project,National Mozambican Public Agency for Parks and Reserves Conservation (ANAC),Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Mozambique,68821,Africa,2020-11-16,2012-01-01,2031-12-31,Avoided Def.,AFOLU,0,0,1
546,1311,"Carbon Emissions Reduction Project in the Corridor Ankeniheny-Zahamena (CAZ) Protected Area, Madagascar","Govt. of Madagascar, Direction Generale des Forets",Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Madagascar,1011973,Africa,2020-04-06,2007-12-30,2037-12-29,Avoided Def.,AFOLU,0,0,1
547,1672,Musokotwane REDD+ Project,Zambruss Enterprises,Agriculture Forestry and Other Land Use,REDD,VM0009,Under validation,Zambia,1100000,Africa,,2017-06-01,2047-05-31,Avoided Def.,AFOLU,0,0,1
550,1650,Reduced Emissions from Deforestation and Degradation in Keo Seima Wildlife Sanctuary,"Royal Government of Cambodia (RGC), Ministry of Environment",Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Cambodia,1426648,Asia,2020-04-06,2010-01-01,2069-12-31,Avoided Def.,AFOLU,0,0,1
553,904,"Reduced Emissions from Deforestation and Degradation in Community Forests – Oddar Meanchey, Cambodia",Royal Government of Cambodia-Forestry Admin,Agriculture Forestry and Other Land Use,REDD,VM0006,Registered,Cambodia,204792,Asia,2020-04-06,2008-02-28,2038-02-27,Avoided Def.,AFOLU,0,0,1
559,1168,"Kulera Landscape REDD+ Program for Co-Managed Protected Areas, Malawi",Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0006,Registered,Malawi,210421,Africa,2020-04-06,2009-10-01,2039-09-30,Avoided Def.,AFOLU,0,1,0
581,1047,"Carbon Emissions Reduction Project in the Forest Corridor Ambositra-Vondrozo (COFAV), Madagascar","Govt. of Madagascar, Direction Generale des Forets",Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Madagascar,220965,Africa,2020-04-06,2007-11-01,2037-10-31,Avoided Def.,AFOLU,0,0,1
582,1340,Bale Mountains Eco-region REDD+ project,Oromia Forest and Wildlife Enterprise,Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Ethiopia,1288821,Africa,2017-07-25,2012-01-01,2031-12-31,Avoided Def.,AFOLU,0,1,0
586,1532,COMACO Landscape Management Project,Community Markets for Conservation (COMACO),Agriculture Forestry and Other Land Use,REDD,VM0015; VM0017,Registered,Zambia,122047,Africa,2020-04-06,2012-07-01,2032-06-30,Avoided Def.,AFOLU,0,0,1
589,1325,Mjumita Community Forest Project (Lindi),Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Tanzania,46263,Africa,2015-12-21,2012-04-21,2042-04-20,Avoided Def.,AFOLU,0,0,1
590,1215,The Makira Forest Protected Area in Madagascar,The Wildlife Conservation Society (WCS),Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Madagascar,1267231,Africa,2020-04-06,2005-01-01,2034-12-31,Avoided Def.,AFOLU,0,0,1
598,1201,Gola REDD project,Gola Rainforest Conservation LG,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Sierra Leone,498667,Africa,2015-04-11,2012-08-01,2042-07-31,Avoided Def.,AFOLU,0,0,1
608,1381,HIMA (Hifadhi ya Misitu ya Asili ya jamii) REDD+ Program,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0006,Under development,Tanzania,244000,Africa,,2010-04-01,2040-03-31,Avoided Def.,AFOLU,0,0,1
610,1202,LOWER ZAMBEZI REDD+ PROJECT,BioCarbon Partners,Agriculture Forestry and Other Land Use,REDD,VM0009,Registered,Zambia,210316,Africa,2020-04-06,2009-10-01,2039-09-30,Avoided Def.,AFOLU,0,0,1
974,2485,Agri-SMART: Sustaining a resilient and inclusive development in Zambezia,Carbon Sink Group s.r.l.,Agriculture Forestry and Other Land Use,ALM,VM0017,Registration requested,Mozambique,163,Africa,,2020-12-10,2040-12-09,ALM,AFOLU,0,0,1
986,4000,DelAgua Clean Cooking Grouped Project in The Gambia,DelAgua Health Rwanda (Voluntary) Limited.,Energy demand,,VMR0006,Under validation,Gambia,5297382,Africa,,2023-01-01,2029-12-31,Cookstoves,Non_AFOLU,0,0,1
995,2406,SENEGAL AND WEST AFRICA MANGROVE PROGRAMME (SWAMP),ALLCOT A.G.,Agriculture Forestry and Other Land Use,,VM0007,Under development,Senegal,2547,Africa,,,,AFOLU Other,AFOLU,0,0,1
996,2407,Niokolo Koba REDD+ Project,ALLCOT A.G.,Agriculture Forestry and Other Land Use,,VM0015,Under development,Senegal,25054,Africa,,,,AFOLU Other,AFOLU,0,0,1
1001,2177,failed,MER,Agriculture Forestry and Other Land Use,,VM0007,Withdrawn,Madagascar,1267231,Africa,2014-02-13,,,AFOLU Other,AFOLU,0,0,1
1005,4226,D.Light's Improved Cooking Project In Uganda,"d.light design, Ltd",Energy demand,,VMR0006,Under validation,Uganda,462172,Africa,,2023-03-01,2030-02-28,Cookstoves,Non_AFOLU,0,0,1
1006,4219,IMPROVED COOKSTOVES IN LIBERIA,Carbonibus S.r.l.,Energy demand,,VMR0006,Under validation,Liberia,2058714,Africa,,2023-03-01,2030-02-28,Cookstoves,Non_AFOLU,0,0,1
1007,4217,Distribution of Improved Cook Stoves in Sub-Saharan Africa–Zambia-CPA-005,C-Quest Capital Malaysia Global Stoves Limited,Energy demand,,VMR0006,Under validation,Zambia,298110,Africa,,2019-08-06,2029-08-05,Cookstoves,Non_AFOLU,0,0,1
1008,4166,Distribution of Improved Cook Stoves in Sub-Saharan Africa-Malawi-CPA-004,C-Quest Capital Malaysia Global Stoves Limited,Energy demand,,VMR0006,Under validation,Malawi,98828,Africa,,2019-01-06,2029-01-05,Cookstoves,Non_AFOLU,0,0,1
1010,4160,Installation of high efficiency wood burning cookstoves in Togo,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Under validation,Togo,1920986,Africa,,,,Cookstoves,Non_AFOLU,0,0,1
1012,4158,Installation of high efficiency wood burning cookstoves in Chad,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Under validation,Chad,2075549,Africa,,,,Cookstoves,Non_AFOLU,0,0,1
1013,4157,Installation of high efficiency wood burning cookstoves in Tanzania - Project 3,C-Quest Capital CR Stoves Pte. Ltd.,Energy demand,,VMR0006,Under validation,Tanzania,285339,Africa,,2021-08-05,2031-08-04,Cookstoves,Non_AFOLU,0,0,1
1014,4150,DelAgua Clean Cooking Grouped Project in Rwanda,DelAgua Health Rwanda (Voluntary) Limited.,Energy demand,,VMR0006,Under validation,Rwanda,1876572,Africa,,2021-10-11,2028-10-10,Cookstoves,Non_AFOLU,0,0,1
1015,4151,BioLite Africa Improved Stove Program,BioLite,Energy demand,,VMR0006,Under validation,Rwanda,1000000,Africa,,2022-06-01,2029-05-31,Cookstoves,Non_AFOLU,0,0,1
1016,4058,Improved Cookstove Distribution in Malawi by EKI Phase 01,EKI Energy Services Limited,Energy demand,,ACM0006,Under validation,Malawi,287195,Africa,,2023-01-15,2030-01-14,Cookstoves,Non_AFOLU,0,0,1
1020,3975,Improved cookstoves for refugees in Uganda,POWA International,Energy demand,,VMR0006,Under validation,Uganda,833907,Africa,,2022-10-01,2029-09-30,Cookstoves,Non_AFOLU,0,0,1
1021,3963,SMG - Nepal Cookstove Program in Terai Region of Himalayas,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Under validation,Nepal,103960,Asia,,2022-12-01,2029-11-30,Cookstoves,Non_AFOLU,0,0,1
1027,3937,"Improved Cook Stove Project 1, Nkhata Bay District, Malawi - CER Conversion",Multiple Proponents,Energy demand,,AMS-II.G.,Units Transferred from Approved GHG Program,Malawi,32672,Africa,,2014-10-27,2024-10-26,Cookstoves,Non_AFOLU,0,0,1
1028,3917,Sequoia cookstoves in Togo,Sequoia Plantation Togo SAU,Energy demand,,VMR0006,Under validation,Togo,791101,Africa,,2022-10-01,2029-09-30,Cookstoves,Non_AFOLU,0,0,1
