,Project ID,Project Name,Project Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Method,Type,SDG,CCB,No Additional Cert
1234,2676,Community Carbon Efficient Cooking Programme - Tanzania-1,Community Carbon,Energy demand,,VMR0006,Under development,Tanzania,2348761,Africa,,2022-04-01,2029-03-31,Cookstoves,Non_AFOLU,0,0,1
1241,2616,BQS improved cookstoves for Burundi’s schools,Burundi Quality Stoves S.A.,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Burundi,187061,Africa,2022-11-22,,,Cookstoves,Non_AFOLU,0,0,1
1242,2599,Domestic Cooking Stoves substitution programme in Mozambique - CER Conversion,Converted from other GHG program,Energy demand,,AMS-II.G.,Units Transferred from Approved GHG Program,Mozambique,30373,Africa,,,,Cookstoves,Non_AFOLU,0,0,1
1247,2540,Improved cookstoves for Burundi restaurants,OBEN EAC S.A,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Burundi,661007,Africa,2022-07-13,2020-02-03,2027-02-02,Cookstoves,Non_AFOLU,0,0,1
1260,2463,Fuel Efficient Stoves in Zambia CPA 3. - CER Conversion,Credits transferred from approved GHG program,Energy demand,,AMS-II.G.,Units Transferred from Approved GHG Program,Zambia,40864,Africa,,,,Cookstoves,Non_AFOLU,0,0,1
1286,2409,Cleaner Cooking Solutions Program,C-Quest Capital SGT Asia Stoves Private Limited,Energy demand; Energy industries (renewable/non-renewable sources),,VMR0006,Registered,Cambodia,841424,Asia,2022-11-14,2022-02-21,2032-02-20,Cookstoves,Non_AFOLU,0,0,1
1287,2390,Installation of high efficiency wood burning cookstoves in Angola,C-Quest Capital Stoves Asia Limited,Energy demand,,VMR0006,Registered,Angola,2567788,Africa,2023-03-06,2021-11-11,2031-11-10,Cookstoves,Non_AFOLU,0,0,1
1289,2380,Installation of high efficiency wood burning cookstoves in Rwanda,C-Quest Capital Stoves Asia Limited,Energy industries (renewable/non-renewable sources),,VMR0006,Registration requested,Rwanda,3149415,Africa,,2021-10-09,2031-10-08,Cookstoves,Non_AFOLU,0,0,1
1290,2371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,Multiple Proponents,Energy demand,,VMR0006,Registered,Zambia,1713078,Africa,2021-12-11,2020-10-14,2030-10-13,Cookstoves,Non_AFOLU,0,0,1
1291,2372,Installation of high efficiency wood burning cookstoves in Malawi - Project 2,Multiple Proponents,Energy demand,,VMR0006,Registered,Malawi,1924569,Africa,2021-12-11,2020-07-05,2030-07-04,Cookstoves,Non_AFOLU,0,0,1
1292,2366,Installation of high efficiency wood burning cookstoves in Tanzania,Multiple Proponents,Energy demand; Energy industries (renewable/non-renewable sources),,VMR0006,Registered,Tanzania,1882271,Africa,2021-12-12,2020-09-23,2030-09-22,Cookstoves,Non_AFOLU,0,0,1
1293,2357,Improved cook stove market development in rural Nepal,Multiple Proponents,Energy demand,,AMS-II.G.,Registered,Nepal,44763,Asia,2021-11-23,2018-11-01,2028-10-31,Cookstoves,Non_AFOLU,0,0,1
1295,2351,Installation of high efficiency wood burning cookstoves in Mozambique,C-Quest Capital SGS Stoves Private Limited,Energy industries (renewable/non-renewable sources),,VMR0006,Registered,Mozambique,1713078,Africa,2022-05-13,2021-01-27,2031-01-26,Cookstoves,Non_AFOLU,0,0,1
1296,2350,Installation of high efficiency wood burning cookstoves in Uganda,Multiple Proponents,Energy demand,,VMR0006,Registered,Uganda,1459980,Africa,2023-03-16,2021-12-15,2031-12-14,Cookstoves,Non_AFOLU,0,0,1
1297,2340,Installation of high efficiency wood burning cookstoves in Zambia,Multiple Proponents,Energy demand,,VMR0006,Registered,Zambia,1713078,Africa,2021-11-25,2020-09-04,2030-09-03,Cookstoves,Non_AFOLU,0,0,1
1299,2342,Installation of high efficiency wood burning cookstoves in Malawi,Multiple Proponents,Energy demand,,VMR0006,Registered,Malawi,915838,Africa,2021-11-25,2020-12-01,2030-11-30,Cookstoves,Non_AFOLU,0,0,1
1301,2313,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-003,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,2022-09-29,2019-03-17,2029-03-16,Cookstoves,Non_AFOLU,0,0,1
1302,2312,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-002,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registration requested,Madagascar,37950,Africa,,2019-03-11,2029-03-10,Cookstoves,Non_AFOLU,0,0,1
1303,2311,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-001,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37722,Africa,2020-10-03,2018-10-09,2028-10-08,Cookstoves,Non_AFOLU,0,0,1
1304,2314,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-004,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,2022-12-16,2019-09-02,2029-09-01,Cookstoves,Non_AFOLU,0,0,1
1305,2315,Madagascar Improved Cookstove Project by KCM-Wood#CPA-W-005,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,2022-12-16,2019-07-15,2029-07-14,Cookstoves,Non_AFOLU,0,0,1
1306,2304,Energy Efficient Cooking Solution for low emission development in Nepal - 3,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-II.G.,Under validation,Nepal,33715,Asia,,2018-12-01,2028-11-30,Cookstoves,Non_AFOLU,0,0,1
1307,2303,Energy Efficient Cooking Solution for low emission development in Nepal-2,Environment Protection Centre (EPC),Energy industries (renewable/non-renewable sources),,AMS-II.G.,Registered,Nepal,33672,Asia,2022-03-28,2018-09-20,2028-09-19,Cookstoves,Non_AFOLU,0,0,1
1308,2300,Energy Efficient Cooking Solution for low emission development in Nepal-1,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-II.G.,Under validation,Nepal,33685,Asia,,2018-09-10,2028-09-09,Cookstoves,Non_AFOLU,0,0,1
1309,1251,Fuel Efficient Stoves in Zambia CPA 1,3 Rocks Limited,Energy demand,,AMS-II.G.,Registered,Zambia,40684,Africa,2020-06-04,2018-06-06,2025-06-05,Cookstoves,Non_AFOLU,0,0,1
1310,1252,Fuel Efficient Stoves in Zambia CPA 2,3 Rocks Limited,Energy demand,,AMS-II.G.,Registered,Zambia,40864,Africa,2014-02-28,2018-10-27,2025-10-26,Cookstoves,Non_AFOLU,0,0,1
1311,1253,Fuel Efficient Stoves in Zambia CPA 3,3 Rocks Limited,Energy demand,,AMS-II.G.,Registered,Zambia,40864,Africa,2014-02-28,2020-02-21,2027-02-20,Cookstoves,Non_AFOLU,0,0,1
1312,181,Fuel-Wood Saving with Improved Cookstoves in Cambodia,GERES (Gpe Energies Renouvelables & Environnement),Energy demand,,AMS-II.G.,Registered,Cambodia,192600,Asia,2020-04-06,,,Cookstoves,Non_AFOLU,0,0,1
1317,1863,ENERGY EFFICIENCY COOK STOVE IMPLEMENTATION IN NEPAL,Enen Green Services Private Limited,Energy demand,,AMS-II.G.,Registered,Nepal,56811,Asia,2019-07-19,2017-07-19,2027-07-18,Cookstoves,Non_AFOLU,0,0,1
1324,1719,Improved Cookstoves Project for Malawi and cross-border regions of Mozambique CPA MAL  005,Multiple Proponents,Energy demand,,AMS-II.G.,Registered,Malawi,44853,Africa,2018-02-06,2016-09-05,2026-09-04,Cookstoves,Non_AFOLU,0,0,1
1329,2120,Fuel - Wood Saving with Improved Cookstoves in Cambodia,CDC,Energy demand,,AMS-II.G.,Registered,Cambodia,192600,,2011-07-12,,,Cookstoves,Non_AFOLU,0,0,1
1331,4188,Grouped Captive Solar Power Project in Bangladesh,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,Bangladesh,11146,Asia,,2021-05-01,2028-04-30,Solar,Non_AFOLU,0,0,1
1333,4036,"26MWp Solar Photovoltaic Power Plant in Bavet City, Cambodia","Green Sustainable Ventures (Cambodia) Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,Cambodia,26473,Asia,,2022-01-27,2029-01-26,Solar,Non_AFOLU,0,0,1
1334,4030,220MW DC MINBU SOLAR POWER PROJECT,"GEP (Myanmar) Co., Ltd. (Head Office)",Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,Myanmar,48722,Asia,,2019-09-27,2029-09-26,Solar,Non_AFOLU,0,0,1
1338,3788,Foumbouni-Mitsamiouli solar farm,INNOVENT COMORES S.A,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registration and verification approval requested,Comoros,9510,Africa,,2021-02-17,2028-02-16,Solar,Non_AFOLU,0,0,1
1341,3613,Solar Power Project by SOMA Energy,Soma Energy Co. Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registration and verification approval requested,Cambodia,5113,Asia,,2020-08-13,2027-08-12,Solar,Non_AFOLU,0,0,1
1344,3545,"50 MW (AC) SOLAR PARK AT SUTIAKHALI, GOURIPUR, MYMENSINGH",HDFC Sinpower Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Bangladesh,55302,Asia,2023-02-06,2020-11-04,2027-11-03,Solar,Non_AFOLU,0,0,1
1347,3298,Blitta – Togo Solar Power Plant,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registration requested,Togo,61326,Africa,,2021-06-12,2028-06-11,Solar,Non_AFOLU,0,0,1
1348,3099,Spectra Solar Park Ltd _35 MW AC Grid-Tied by Spectra Solar Park Limited,Spectra Solar Park Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registration and verification approval requested,Bangladesh,37042,Asia,,2021-03-12,2028-03-11,Solar,Non_AFOLU,0,0,1
1352,2966,"Installation Of Solar Milling Plants for Household In Zambia, Project- 1",Carbon Project Australia Pty Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.B.,Registration requested,Zambia,23199,Africa,,2020-08-01,2027-07-31,Solar,Non_AFOLU,0,0,1
1353,2967,"Installation Of Solar Milling Plants for Household In Zambia, Project- 2",Carbon Project Australia Pty Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.B.,Registration requested,Zambia,21530,Africa,,2020-08-17,2027-08-16,Solar,Non_AFOLU,0,0,1
1354,2953,Malawi Solar Power and Adult Literacy Project,SCB Brokers LLC,Energy demand; Energy distribution; Energy industries (renewable/non-renewable sources),,AMS-I.A.,Under development,Malawi,21,Africa,,2021-11-01,2028-10-31,Solar,Non_AFOLU,0,0,1
1360,2434,Off grid Solar PV project at IAMGOLD Essakane SA Gold Mine,Essakane Solar S.A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.A.,Registered,Burkina Faso,19904,Africa,2021-12-07,2018-06-01,2025-05-31,Solar,Non_AFOLU,0,0,1
1362,2307,Ambatolampy 20 MW solar PV,GreenYellow Madagascar,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Madagascar,23431,Africa,2020-11-04,2018-07-10,2025-07-09,Solar,Non_AFOLU,0,0,1
1412,1971,SAKAL SOLAR FARM,AERA Group,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Senegal,22270,Africa,2020-06-11,2018-07-24,2028-07-23,Solar,Non_AFOLU,0,0,1
1449,1774,Grid-connected Solar PV project in Bokhol,Senergy 2 SAS,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Senegal,22851,Africa,2020-04-13,2016-11-11,2026-11-10,Solar,Non_AFOLU,0,0,1
1458,1734,Large scale grid connected solar PV Project in Toujounine (Nouakchott),AERA Group,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Mauritania,43836,Africa,2019-01-29,2017-11-07,2027-11-06,Solar,Non_AFOLU,0,0,1
1463,1683,Kahone Solar PV Plant,ENERGY RESOURCES SENEGAL SA,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Senegal,21521,,2017-07-05,2018-02-23,2028-02-22,Solar,Non_AFOLU,0,0,1
1469,1652,Centrale Solaire de Malicounda - Groupe Solaria,SENELEC,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,Senegal,26547,Africa,,2016-09-07,2026-09-06,Solar,Non_AFOLU,0,0,1
1490,3163,Red Sea Power Wind Farm,AERA Group,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,Djibouti,98849,Africa,,2022-07-01,2032-06-30,Wind,Non_AFOLU,0,0,1
1491,2588,Taiba N’Diaye Wind Power,Parc Eolien Taiba N’Diaye S.A.U,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Senegal,243965,Africa,2022-01-25,2019-12-09,2029-12-08,Wind,Non_AFOLU,0,0,1
1875,1733,Nouakchott 30 MW wind power plant,AERA Group,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Mauritania,66438,Africa,2020-04-13,2016-01-28,2026-01-27,Wind,Non_AFOLU,0,0,1
2101,4139,Grouped Hydro Power Project by EKI Energy Services Limited,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,Nepal,22723,Asia,,2021-08-01,2028-07-31,Hydro,Non_AFOLU,0,0,1
2102,3720,Giciye III Hydropower Project in Rwanda,B.B. Energy (Asia) Pte Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registration requested,Rwanda,25787,Africa,,2020-12-09,2027-12-08,Hydro,Non_AFOLU,0,0,1
2235,2080,Jiro Kanto rural hydro-electricity in Alaotra-Mangoro,BETC Nanala,Energy industries (renewable/non-renewable sources),,AMS-I.L.,Registration requested,Madagascar,12748,Africa,,2020-04-01,2030-03-31,Hydro,Non_AFOLU,0,0,1
2338,1199,Bugoye 13.0 MW Run-of-River Hydropower Project,Bugoye Hydro Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Uganda,51074,Africa,2020-04-06,,,Hydro,Non_AFOLU,0,0,1
2353,1286,Ishasha 6.6 MW Small Hydropower Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Uganda,19027,Africa,2015-02-11,,,Hydro,Non_AFOLU,0,0,1
2393,1319,Small-Scale Hydropower Project Sahanivotry In Madagascar.,Hydelec Madagascar,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Madagascar,46490,Africa,2020-04-06,2018-10-01,2028-09-30,Hydro,Non_AFOLU,0,0,1
2394,1505,Bujagali Hydropower Project - CER Conversion,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,ACM0002,Units Transferred from Approved GHG Program,Uganda,858173,Africa,,,,Hydro,Non_AFOLU,0,0,1
2398,1494,Tsiazompaniry Hydropower Project in Madagascar,HENRI FRAISE FILS & Cie,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under development,Madagascar,8309,Africa,,,,Hydro,Non_AFOLU,0,0,1
2419,1458,Pico Hydro-Electricity Dissemination programme for Rural Electrification,Tany Meva Fundation,Energy industries (renewable/non-renewable sources),,AMS-I.L.,Registered,Madagascar,1070,Africa,2015-12-22,2016-06-01,2026-05-31,Hydro,Non_AFOLU,0,0,1
2578,1564,"Landfill gas recovery and electricity generation at “Mtoni Dumpsite”, Dar Es Salaam, Tanzania - CER Conversion",Credits transferred from approved GHG program,Waste handling and disposal,,ACM0001,Units Transferred from Approved GHG Program,Tanzania,202271,Africa,,,,LFG,Non_AFOLU,0,0,1
2825,1393,Anaerobic digestion and heat generation at Sugar Corporation of Uganda Limited,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.H.,Registered,Uganda,15229,Africa,2020-04-06,,,Waste,Non_AFOLU,0,0,1
2835,353,Composting of Municipal organic waste in Mahajanga (Madagascar),Goodplanet,Waste handling and disposal,,AMS-III.F.,Registered,Madagascar,14948,Africa,2012-04-10,,,Waste,Non_AFOLU,0,0,1
2841,3985,Grouped Electric bikes project in Africa,MAUTO HOLDCO,Transport,,AMS-III.C.,Under validation,Togo,65806,Africa,,2022-06-20,2029-06-19,Transport,Non_AFOLU,0,0,1
2873,3228,Clean Bricks Production in Nepal,InnoCSR Co.Ltd.,Manufacturing industries,,AMS-III.Z,Under validation,Nepal,2037,Asia,,2022-06-25,2032-06-24,Construction / Manufacturing,Non_AFOLU,0,0,1
2923,3021,Reducing Gas Leakages within North West and other sub-areas of the Titas Gas Distribution Network in Bangladesh,Carbon Projects LLC,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Bangladesh,1090993,Asia,2022-10-26,2022-06-01,2032-05-31,Fugitive Emiss.,Non_AFOLU,0,0,1
2924,2930,Reducing Gas Leakages within the Titas Gas Distribution Network in Bangladesh Verra,NE Climate A/S,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Bangladesh,3289487,Asia,2022-12-13,2017-01-29,2027-01-28,Fugitive Emiss.,Non_AFOLU,0,0,1
2928,2739,Reducing Gas Leakages within the Pashchimanchal Gas Distribution Network in Bangladesh,EcoGas Asia Limited,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Bangladesh,365129,Asia,2022-09-27,2020-01-19,2030-01-18,Fugitive Emiss.,Non_AFOLU,0,0,1
2929,2736,Reducing Gas Leakages within the Bakhrabad Gas Distribution Network in Bangladesh,EcoGas Asia Limited,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Bangladesh,1387409,Asia,2022-10-27,2019-01-28,2029-01-27,Fugitive Emiss.,Non_AFOLU,0,0,1
2930,2737,Reducing Gas Leakages within the Jalalabad Gas Distribution Network in Bangladesh,EcoGas Asia Limited,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Bangladesh,1054305,Asia,2022-09-27,2019-01-20,2029-01-19,Fugitive Emiss.,Non_AFOLU,0,0,1
2931,2738,Reducing Gas Leakages within the Karnaphuli Gas Distribution Network in Bangladesh,EcoGas Asia Limited,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Bangladesh,839133,Asia,2022-09-27,2019-01-06,2029-01-05,Fugitive Emiss.,Non_AFOLU,0,0,1
2933,2478,Reducing Gas Leakages within the Titas Gas Distribution Network in Bangladesh - CER Conversion,Converted from other GHG program,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Units Transferred from Approved GHG Program,Bangladesh,3481722,,,2017-01-29,2027-01-28,Fugitive Emiss.,Non_AFOLU,0,0,1
2999,3935,Angovo Maharitra,CARBON CREDITS CONSULTING S.R.L.,Energy demand,,AMS-II.G.,Under development,Madagascar,44683,Africa,,2022-12-31,2029-12-30,Other,Non_AFOLU,0,0,1
3000,3936,Mila Rano - Safe water access for Madagascar,CARBON CREDITS CONSULTING S.R.L.,Energy demand,,AMS-III.AV.,Under validation,Madagascar,12294,Africa,,,,Other,Non_AFOLU,0,0,1
3010,3831,"Healthier, Happier Meals With Fuel And Time Savings In Rural Zambia",Multiple Proponents,Energy demand,,VMR0006,Registration requested,Zambia,2120325,Africa,,2023-04-01,2033-03-31,Other,Non_AFOLU,0,0,1
3015,3703,UpEnergy-Social and Climate Impact Programme-Burundi 1,UpEnergy Group,Energy demand,,VMR0006,Under validation,Burundi,803492,Africa,,2022-07-05,2029-07-04,Other,Non_AFOLU,0,0,1
3017,3691,Safe Drinking Water Supply Project in the Rural Area of Senegal,"Guangzhou Iceberg Environmental Consulting Services Co., Ltd.",Energy demand,,AMS-III.AV.,Registration requested,Senegal,269450,Africa,,2021-03-23,2028-03-22,Other,Non_AFOLU,0,0,1
3029,3262,Livelihoods Chitetezo Mbaula Project,Livelihoods Fund SICAV SIF,Energy demand,,VMR0006,Registration and verification approval requested,Malawi,262431,Africa,,2021-03-26,2031-03-25,Other,Non_AFOLU,0,0,1
3038,3052,Grouped Projects For Cambodia Water Purifier,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,AMS-III.AV.,Under development,Cambodia,2284560,Asia,,2022-05-01,2032-04-30,Other,Non_AFOLU,0,0,1
3039,2977,Biomass Cogeneration Plant By SCOUL,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0006,Registration and verification approval requested,Uganda,76243,Africa,,2021-07-19,2028-07-18,Other,Non_AFOLU,0,0,1
3045,2789,UpEnergy-Social and Climate Impact Programme-Uganda 1,UpEnergy Group,Energy demand,,VMR0006,Under development,Uganda,1135916,Africa,,2022-04-01,2029-03-31,Other,Non_AFOLU,0,0,1
3047,2707,ICS distribution for Improving life style of Malagasy Community,Multiple Proponents,Energy demand,,VMR0006,Registered,Madagascar,313968,Africa,2022-12-02,2021-12-31,2031-12-30,Other,Non_AFOLU,0,0,1
3063,2571,Renewable Electricity Grouped Project in Africa,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Tanzania,10208,Africa,2022-11-09,2021-02-09,2028-02-08,Other,Non_AFOLU,0,0,1
3070,2400,DelAgua Public Health Program in Eastern Africa - CER Conversion,Converted From a another GHG program CDM,Energy demand,,AMS-II.G.,Units Transferred from Approved GHG Program,Rwanda,67656,Africa,,,,Other,Non_AFOLU,0,0,1
3268,2263,Renewable Energy based power generation projects in Bangladesh,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002; AMS-I.D.,Registered,Bangladesh,32791,Asia,2020-11-20,2018-09-15,2025-09-14,Other,Non_AFOLU,0,0,1
3377,1665,HPP Project Liberia,Liberian Agricultural Company,Energy industries (renewable/non-renewable sources),,Methodology Under Development,Registered,Liberia,3580,Africa,2020-04-06,2016-06-19,2026-06-18,Other,Non_AFOLU,0,0,1
3384,1624,"Biomass Based Cogeneration Project by CG GROUP, NEPAL",CG Brewery (Nepal) Pvt. Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registration requested,Nepal,47925,Asia,,2016-09-01,2026-08-31,Other,Non_AFOLU,0,0,1
